LAMMPS data file via write_data, version 29 Aug 2024, timestep = 2000000, units = real > auto_morse_bond version: v1.11 / 13 November 2024

1200 atoms
1800 bonds
3600 angles
7200 dihedrals
1200 impropers

1 atom types
1 bond types
1 angle types
1 dihedral types
1 improper types

-24.157009289366833 24.157009289366833 xlo xhi
-24.66496418888368 24.66496418888368 ylo yhi
-24.18040141970816 24.18040141970816 zlo zhi

Atom Type Labels

 1  cp

Bond Type Labels

 1  cp-cp

Angle Type Labels

 1  cp-cp-cp

Dihedral Type Labels

 1  cp-cp-cp-cp

Improper Type Labels

 1  cp-cp-cp-cp-nb==3

Masses

 1   12.01115  # cp

Pair Coeffs  # lj/class2/coul/long

 1        0.06400000      4.01000000 # cp

Bond Coeffs  # morse

 1      124.00000000      2.40000000      1.41700000                                 # cp          cp   

Angle Coeffs  # class2xe

 1      118.90000000     61.02260000    -34.99310000               0 # cp         cp         cp   

Dihedral Coeffs  # class2xe

 1        8.36670000               0      1.19320000               0               0               0 # cp         cp        cp         cp   

Improper Coeffs  # class2

 1        7.17940000               0 # cp         cp        cp        cp      nb==3   

BondBond Coeffs  # class2xe

 1      124.00000000      0.52473342      1.41700000      1.41700000 # cp         cp         cp   

BondAngle Coeffs  # class2xe

 1      124.00000000    124.00000000      0.34119572      0.34119572      1.41700000      1.41700000 # cp         cp         cp   

AngleAngleTorsion Coeffs  # class2xe

 1                 0    118.90000000    118.90000000 # cp         cp        cp         cp   

EndBondTorsion Coeffs  # class2xe

 1        2.40000000      2.40000000     -0.11850000      6.32040000               0     -0.11850000      6.32040000               0      1.41700000      1.41700000 # cp         cp        cp         cp   

MiddleBondTorsion Coeffs  # class2xe

 1        2.40000000     27.59890000     -2.31200000               0      1.41700000 # cp         cp        cp         cp   

BondBond13 Coeffs  # class2xe

 1      124.00000000      0.46228744      1.41700000      1.41700000 # cp         cp        cp         cp   

AngleTorsion Coeffs  # class2xe

 1        1.97670000      1.02390000               0      1.97670000      1.02390000               0    118.90000000    118.90000000 # cp         cp        cp         cp   

AngleAngle Coeffs

 1                 0               0               0    118.90000000    118.90000000    118.90000000 # cp         cp        cp        cp      nb==3   

Atoms # full

 246    1   1   0.000000   -9.371777492    -3.693189900    -19.863032600  0  0  0  # cp/C
 250    1   1   0.000000   -9.247355467    -3.646708776    -17.446798881  0  0  0  # cp/C
 242    1   1   0.000000   -9.463491615    -3.702800071    -22.279997113  0  0  0  # cp/C
 251    1   1   0.000000   -8.712584534    -4.907504310    -17.452980024  0  0  0  # cp/C
 243    1   1   0.000000   -8.712591746    -4.896679872    -22.267524577  0  0  0  # cp/C
 247    1   1   0.000000   -8.729575023    -4.901071470    -19.875279760  0  0  0  # cp/C
 252    1   1   0.000000   -8.336581950    -5.469347411    -18.660067582  0  0  0  # cp/C
 248    1   1   0.000000   -8.332669106    -5.476939730    -21.049312888  0  0  0  # cp/C
 244    1   1   0.000000   -8.324424429    -5.552171679    -23.473689092  0  0  0  # cp/C
 256    1   1   0.000000   -8.376151259    -5.511316574    -16.260454948  0  0  0  # cp/C
 402    1   1   0.000000   -3.297414585    -8.987634080    -22.212497527  0  0  0  # cp/C
 403    1   1   0.000000   -1.933246027    -9.322869518    -22.302619953  0  0  0  # cp/C
 407    1   1   0.000000   -2.000720971    -9.431700688    -19.890596800  0  0  0  # cp/C
 411    1   1   0.000000   -1.993981243    -9.628394454    -17.491122444  0  0  0  # cp/C
 409    1   1   0.000000   -4.059423617    -9.058598096    -18.673524930  0  0  0  # cp/C
 405    1   1   0.000000   -3.999678798    -8.851244259    -21.020077763  0  0  0  # cp/C
 413    1   1   0.000000   -4.091281214    -9.107107821    -16.270847982  0  0  0  # cp/C
 410    1   1   0.000000   -3.418524449    -9.422227951    -17.444002998  0  0  0  # cp/C
 401    1   1   0.000000   -3.952908188    -8.779388524    -23.421224522  0  0  0  # cp/C
 328    1   1   0.000000   -5.253962848    -8.206882891    -21.051428214  0  0  0  # cp/C
 332    1   1   0.000000   -5.239902413    -8.331005596    -18.625093016  0  0  0  # cp/C
 327    1   1   0.000000   -5.797979254    -7.876803130    -19.789300315  0  0  0  # cp/C
 333    1   1   0.000000   -7.483889487    -6.680795023    -16.233685764  0  0  0  # cp/C
 329    1   1   0.000000   -7.391172668    -6.526003535    -18.616242510  0  0  0  # cp/C
 321    1   1   0.000000   -7.548270572    -6.704751434    -23.472745784  0  0  0  # cp/C
 325    1   1   0.000000   -7.431139398    -6.577139463    -21.066231667  0  0  0  # cp/C
 322    1   1   0.000000   -6.985183782    -7.093132866    -22.265633085  0  0  0  # cp/C
 326    1   1   0.000000   -6.905661338    -7.079625723    -19.849647481  0  0  0  # cp/C
 330    1   1   0.000000   -6.933244664    -7.079394828    -17.432961930  0  0  0  # cp/C
 323    1   1   0.000000   -5.875516032    -7.949897909    -22.269581273  0  0  0  # cp/C
 331    1   1   0.000000   -5.857136468    -7.957363777    -17.424299386  0  0  0  # cp/C
 336    1   1   0.000000   -5.264766977    -8.356277898    -16.237029849  0  0  0  # cp/C
 324    1   1   0.000000   -5.290502003    -8.226286208    -23.498508009  0  0  0  # cp/C
 406    1   1   0.000000   -3.353528267    -9.143067924    -19.865034022  0  0  0  # cp/C
 404    1   1   0.000000   -1.296421224    -9.635794226    -23.472923780  0  0  0  # cp/C
 412    1   1   0.000000   -1.300489933    -9.660458652    -18.684274352  0  0  0  # cp/C
 408    1   1   0.000000   -1.303388604    -9.502194280    -21.098106431  0  0  0  # cp/C
 416    1   1   0.000000   -1.331880474    -9.811847635    -16.270673070  0  0  0  # cp/C
 489    1   1   0.000000    0.058667889    -9.901882299    -18.679104235  0  0  0  # cp/C
 485    1   1   0.000000    0.075695943    -9.713628956    -21.075994885  0  0  0  # cp/C
 481    1   1   0.000000    0.074420855    -9.717631971    -23.447381656  0  0  0  # cp/C
 486    1   1   0.000000    0.781854031    -9.891660035    -19.861599193  0  0  0  # cp/C
 490    1   1   0.000000    0.792624852    -9.960259295    -17.476578072  0  0  0  # cp/C
 482    1   1   0.000000    0.810212957    -9.761856928    -22.258936542  0  0  0  # cp/C
 487    1   1   0.000000    2.174491077    -9.722291503    -19.854519820  0  0  0  # cp/C
 483    1   1   0.000000    2.221322154    -9.653938006    -22.301082537  0  0  0  # cp/C
 491    1   1   0.000000    2.157642911    -9.632608790    -17.407888766  0  0  0  # cp/C
 484    1   1   0.000000    2.895412734    -9.494858718    -23.499723368  0  0  0  # cp/C
 496    1   1   0.000000    2.800472406    -9.385274995    -16.188030042  0  0  0  # cp/C
 492    1   1   0.000000    2.853199593    -9.471433930    -18.614436178  0  0  0  # cp/C
 488    1   1   0.000000    2.850412443    -9.549408910    -21.085287955  0  0  0  # cp/C
 565    1   1   0.000000    4.143484344    -8.998563769    -21.080899394  0  0  0  # cp/C
 573    1   1   0.000000    4.110454149    -8.927785488    -16.183232723  0  0  0  # cp/C
 561    1   1   0.000000    4.168801019    -8.978335928    -23.504814954  0  0  0  # cp/C
 569    1   1   0.000000    4.076031088    -8.870978265    -18.611906921  0  0  0  # cp/C
 570    1   1   0.000000    4.795052105    -8.687566326    -17.399193072  0  0  0  # cp/C
 566    1   1   0.000000    4.740038843    -8.654059892    -19.849468794  0  0  0  # cp/C
 562    1   1   0.000000    4.830169612    -8.784930303    -22.273806834  0  0  0  # cp/C
 493    1   1   0.000000    0.054103521    -9.990191784    -16.251831499  0  0  0  # cp/C
 571    1   1   0.000000    6.038496619    -8.070874466    -17.423376453  0  0  0  # cp/C
 563    1   1   0.000000    6.075382545    -8.144163640    -22.259996390  0  0  0  # cp/C
 567    1   1   0.000000    5.994023713    -8.031793566    -19.826866025  0  0  0  # cp/C
 564    1   1   0.000000    6.700152764    -7.798652725    -23.466448623  0  0  0  # cp/C
 572    1   1   0.000000    6.585143703    -7.641873577    -18.630260074  0  0  0  # cp/C
